Gene.Name	Standard.Name	Chromosome	Start.Coordinate	End.Coordinate	Strand	NTE.Length
YAL001C	TFC3	I	147594	151166	-	0
YAL002W	VPS8	I	143677	147531	+	10
YAL003W	EFB1	I	142159	143160	+	5
YAL005C	SSA1	I	139503	141443	-	4
YAL007C	ERP2	I	137698	138345	-	0
YAL008W	FUN14	I	136914	137510	+	0
YAL009W	SPO7	I	135854	136633	+	0
YAL010C	MDM10	I	134184	135671	-	2
YAL011W	SWC3	I	132199	134076	+	0
YAL012W	CYS3	I	130742	131983	+	19
YAL013W	DEP1	I	129270	130487	+	0
YAL014C	SYN8	I	128252	129067	-	16
YAL015C	NTG1	I	126903	128102	-	0
YAL016W	TPD3	I	124858	126786	+	7
YAL017W	PSK1	I	120213	124295	+	4
YAL018C	LDS1	I	118564	119541	-	0
YAL019W	FUN30	I	114826	118314	+	31
YAL020C	ATS1	I	113614	114615	-	0
YAL021C	CCR4	I	110846	113359	-	0
YAL022C	FUN26	I	108877	110439	-	3
YAL023C	PMT2	I	106272	108620	-	23
YAL026C	DRS2	I	95630	99697	-	0
YAL027W	SAW1	I	94687	95472	+	0
YAL028W	FRT2	I	92900	94486	+	0
YAL029C	MYO4	I	87855	92270	-	0
YAL030W	SNC1	I	87271	87752	+	5
YAL031C	GIP4	I	84749	87031	-	0
YAL033W	POP5	I	82706	83227	+	0
YAL034C	FUN19	I	80710	82101	-	50
YAL034W-A	MTW1	I	79703	80587	+	5
YAL035W	FUN12	I	76427	79435	+	0
YAL036C	RBG1	I	75043	76152	-	0
YAL037W	YAL037W	I	74020	74823	+	0
YAL038W	CDC19	I	71777	73288	+	3
YAL039C	CYC3	I	68716	69564	-	13
YAL040C	CLN3	I	65778	67523	-	1
YAL041W	CDC24	I	62813	65404	+	9
YAL042W	ERV46	I	61307	62563	+	3
YAL043C	PTA1	I	58695	61052	-	0
YAL044C	GCV3	I	57950	58462	-	0
YAL044W-A	BOL1	I	57518	57850	+	0
YAL046C	BOL3	I	57029	57391	-	2
YAL047C	SPC72	I	54989	56875	-	6
YAL048C	GEM1	I	52801	54789	-	0
YAL049C	AIM2	I	51855	52595	-	0
YAL051W	OAF1	I	48564	51707	+	0
YAL053W	FLC2	I	45899	48250	+	0
YAL054C	ACS1	I	42881	45037	-	5
YAL055W	PEX22	I	42177	42719	+	0
YAL056W	GPB2	I	39250	41901	+	3
YAL058W	CNE1	I	37440	38972	+	8
YAL059W	ECM1	I	36509	37147	+	0
YAL060W	BDH1	I	35152	36303	+	1
YAL061W	BDH2	I	33448	34701	+	0
YAL062W	GDH3	I	31567	32940	+	0
YAL067C	SEO1	I	7235	9025	-	3
YAR002C-A	ERP1	I	154065	154739	-	5
YAR002W	NUP60	I	152257	153876	+	0
YAR003W	SWD1	I	154921	156285	+	28
